"Artist","Dead Sea 33","Dexter","Grc","Icoin","Jasinlee","Marticps","Mjbmonetarymetals","Skull 88","Tosku"
"Devcoin Voter",,,,,,,,,
"Alex0909",0,0,90,75,0,0,0,90,0
"Dead Sea 33",0,0,0,0,76,75,0,0,0
"Fuzzy Bear",0,0,0,0,0,99,0,0,0
"Grc",80,0,0,0,0,70,50,85,60
"Marticps",0,0,70,70,0,0,0,90,0
"Metazilla",0,0,85,0,0,80,80,68,0
"Notabot",0,0,0,99,98,97,0,0,0
"Ranlo",0,0,0,0,99,85,0,0,0
"Twobits",0,0,0,80,0,99,0,0,0
"Unthinkingbit",99,90,95,80,55,75,60,50,45
"Vlad2Vlad",0,0,90,85,90,99,90,84,0
"Weisoq",0,0,0,0,0,99,0,0,0
"Devcoin Voter Sum",179,90,430,489,418,878,280,467,105
"Devcoin Sum Doubled",358,180,860,978,836,1756,560,934,210
"Activity Voter",,,,,,,,,
"O0400",0,0,0,0,0,55,0,90,0
"Bitcoin Megastore",80,10,40,30,20,60,70,50,90
"Dcl595",0,0,99,0,0,0,0,0,0
"Praxis",70,40,89,89,0,79,50,90,75
"Voter Sum",508,230,1088,1097,856,1950,680,1164,375
"Qualification","Recused",,"Recused",,,"Recused",,,
"Votes",26,28,26,28,28,26,28,28,28
"Average",19.5,8.2,41.8,39.2,30.6,75,24.3,41.6,13.4
"Rank",,,2,4,,1,,3,
"Shares",,,4,1,,8,,2,
