Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Payout 8,Payout 9,Payout 10,Payout 11,Payout 12,Payout 13,Payout 14,Payout 15,Payout 16,Payout 17,Payout 18,Payout 19,Payout 20,Payout 21,Cumulative Payout
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,17480,17480,17480,0,0,0,0,0,0,0,0,0,0,7,4,6,0,17
Barnacle_Ed,1G2SGLjNvrhZPZfEeqnmFtK16mddroKArw
CryptoAddicto,1DnUdPN8k4djtdBNTouQxEJd5DQqZMt5Z5
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,5,44661,44661,44711,6,2,0,0,0,3,8,2,2,7,1,12,0,2,45
Kumala,1Fmz2cba6x2ZZqEdD4DyWPV6hYFuEGe2rW,0,0,0,2172,2172,2172,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,48111,14433,0,112967,161078,127400,6,15,9,11,7,11,13,14,6,10,8,5,6,6,127
,Totals,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Payout 8,Payout 9,Payout 10,Payout 11,Payout 12,Payout 13,Payout 14,Payout 15,Payout 16,Payout 17,Payout 18,Payout 19,Payout 20,Payout 21,Cumulative Payout
,,48111,14433,5,177280,225391,191763,12,17,9,11,7,14,21,16,8,17,18,21,12,8,191
,Date
,2013-03-14
